,resultId,raceId,driverId,constructorId,number,grid,position,positionText,positionOrder,points,laps,time,milliseconds,fastestLap,rank,fastestLapTime,fastestLapSpeed,statusId,fp1Pos,fp1Laps,fp2Pos,fp2Laps
1364,23496,974,18,1,22,20,\N,R,18,0.0,57,\N,\N,47,17,1:16.912,156.194,130,14,35,12,37
1365,23497,974,836,15,94,18,\N,R,19,0.0,57,\N,\N,25,20,1:18.034,153.948,4,18,33,20,37
1366,23498,974,807,4,27,10,\N,R,20,0.0,15,\N,\N,13,19,1:17.885,154.242,6,19,3,17,41
1367,23499,975,1,131,44,1,1,1,1,25.0,70,1:33:05.154,5585154,64,1,1:14.551,210.588,1,1,36,2,41
1368,23500,975,822,131,77,3,2,2,2,18.0,70,+19.783,5604937,65,5,1:15.894,206.862,1,3,21,4,42
1369,23501,975,817,9,3,6,3,3,3,15.0,70,+35.297,5620451,67,8,1:16.165,206.126,1,9,23,15,8
1370,23502,975,20,6,5,2,4,4,4,12.0,70,+35.907,5621061,70,2,1:14.719,210.115,1,2,28,3,41
1371,23503,975,815,10,11,8,5,5,5,10.0,70,+40.476,5625630,62,11,1:16.367,205.580,1,5,34,10,41
1372,23504,975,839,10,31,9,6,6,6,8.0,70,+40.716,5625870,68,9,1:16.247,205.904,1,6,35,8,46
1373,23505,975,8,6,7,4,7,7,7,6.0,70,+58.632,5643786,59,3,1:15.388,208.250,1,4,28,1,41
